Student Answer,Correct Answer,Expected Result,Last Test Result,Last Tested
"-2ab+5a-4b","5a-4b-2ab",accept,PASS,2026-06-13T06:59:29.638Z
"bcda","abcd",accept,PASS,2026-06-13T06:59:29.638Z
"c+b+d+a","a+b+c+d",accept,PASS,2026-06-13T06:59:29.638Z
"-t-6u-5t+14u","-13t+8u",reject,PASS,2026-06-13T06:59:29.639Z
"12jnkl","12ljkn",accept,PASS,2026-06-13T06:59:29.639Z
"-18qp^5","-18p^5q",accept,PASS,2026-06-13T06:59:29.639Z
"-\frac{1}{3s}","\frac{-1}{3s}",accept,PASS,2026-06-13T06:59:29.640Z
"\frac{-3p}{-4q}","\frac{3p}{4q}",reject,PASS,2026-06-13T06:59:29.651Z
"x+2x","3x",reject,PASS,2026-06-13T06:59:29.651Z
"\frac{4x}{2}","2x",reject,PASS,2026-06-13T06:59:29.651Z
"\left(m^2\right)^3","m^6",reject,PASS,2026-06-13T06:59:29.651Z
"x^2+2x+1","\left(x+1\right)^2",reject,PASS,2026-06-13T06:59:29.651Z
"\frac{a-b}{c}","-\frac{b-a}{c}",accept,PASS,2026-06-13T06:59:29.652Z
"-10ab^2+10ba^2","10a^2b-10ab^2",accept,PASS,2026-06-13T06:59:29.652Z
"\frac{-6x^2-25}{20x}","-\frac{25+6x^2}{20x}",accept,PASS,2026-06-13T06:59:29.652Z
"\frac{1}{4\sqrt[3]{x^2}}","\frac{1}{4\sqrt[3]{x^2}}",accept,PASS,2026-06-13T06:59:29.653Z
"4-3\sqrt{x^5}","-3\sqrt{x^5}+4",accept,PASS,2026-06-13T06:59:29.653Z
"2^{\frac{17}{4}}","2^{\frac{17}{4}}",accept,PASS,2026-06-13T06:59:29.653Z
"\frac{4mn}{3}","\frac{4}{3}mn",accept,FAIL,2026-06-13T06:59:29.653Z
"\left(a-x\right)\left(x-b\right)","-\left(x-a\right)\left(x-b\right)",accept,PASS,2026-06-13T06:59:29.654Z
"-\left(x+a\right)\left(x+b\right)","-\left(x+b\right)\left(x+a\right)",accept,PASS,2026-06-13T06:59:29.654Z
"-\frac{x-a}{b}","\frac{a-x}{b}",accept,PASS,2026-06-13T06:59:29.654Z
"-\frac{\left(x-a\right)\left(x+b\right)}{3}","\frac{\left(a-x\right)\left(x+b\right)}{3}",accept,PASS,2026-06-13T06:59:29.654Z
"-\frac{2}{3}\left(a+b\right)\left(c+d\right)","-\frac{2\left(a+b\right)\left(c+d\right)}{3}",accept,FAIL,2026-06-13T06:59:29.655Z
"-\frac{2}{3}(a+b)(c+d)","-\frac{2(a+b)(c+d)}{3}",accept,FAIL,2026-06-13T06:59:29.655Z
"\frac{2}{3}(a+b)(c+d)","\frac{2(a+b)(c+d)}{3}",accept,FAIL,2026-06-13T06:59:29.655Z
"-\frac{1}{2}xy","-\frac{xy}{2}",accept,FAIL,2026-06-13T06:59:29.655Z
"\frac{3}{4}ab","\frac{3ab}{4}",accept,FAIL,2026-06-13T06:59:29.655Z
"-\frac{5}{6}(x+1)","-\frac{5(x+1)}{6}",accept,FAIL,2026-06-13T06:59:29.656Z
"\frac{a}{b}cd","\frac{acd}{b}",accept,PASS,2026-06-13T06:59:29.656Z
"-\frac{2}{3}(a+b)(c+d)(e+f)","-\frac{2(a+b)(c+d)(e+f)}{3}",accept,FAIL,2026-06-13T06:59:29.656Z
"\frac{-4}{5}xy(a+b)","\frac{-4xy(a+b)}{5}",accept,FAIL,2026-06-13T06:59:29.656Z
"-\frac{3x}{4y}(a+b)","-\frac{3x(a+b)}{4y}",accept,PASS,2026-06-13T06:59:29.656Z
"(x+a)(x+b)","(x+b)(x+a)",accept,PASS,2026-06-13T06:59:29.657Z
"-(x+a)(x+b)","-(x+b)(x+a)",accept,PASS,2026-06-13T06:59:29.657Z
"2(x+a)(x+b)","2(x+b)(x+a)",accept,PASS,2026-06-13T06:59:29.657Z
"(a+x)(b+x)","(x+a)(x+b)",accept,PASS,2026-06-13T06:59:29.657Z
"abc","bca",accept,PASS,2026-06-13T06:59:29.657Z
"2xy","2yx",accept,PASS,2026-06-13T06:59:29.657Z
"-(x+a)(x+b)(x+c)","-(x+c)(x+a)(x+b)",accept,PASS,2026-06-13T06:59:29.657Z
"3(a+b)(c+d)","3(c+d)(a+b)",accept,PASS,2026-06-13T06:59:29.657Z
"(x+1)(x+2)(x+3)","(x+3)(x+1)(x+2)",accept,PASS,2026-06-13T06:59:29.658Z
"(a-x)(x-b)","-(x-a)(x-b)",accept,PASS,2026-06-13T06:59:29.658Z
"(a-x)(b-x)","-(x-a)(x-b)",reject,PASS,2026-06-13T06:59:29.665Z
"(5-x)(x-3)","-(x-5)(x-3)",accept,PASS,2026-06-13T06:59:29.665Z
"(a-b)(c-d)","-(b-a)(c-d)",accept,PASS,2026-06-13T06:59:29.665Z
"-(a-x)(x-b)","(x-a)(x-b)",accept,PASS,2026-06-13T06:59:29.665Z
"-2(a-x)(x-b)","2(x-a)(x-b)",accept,PASS,2026-06-13T06:59:29.665Z
"a+b","b+a",accept,PASS,2026-06-13T06:59:29.665Z
"x+y+z","z+y+x",accept,PASS,2026-06-13T06:59:29.665Z
"2x+3y","3y+2x",accept,PASS,2026-06-13T06:59:29.666Z
"a+b+c+d","d+c+b+a",accept,PASS,2026-06-13T06:59:29.666Z
"a-b","-b+a",accept,PASS,2026-06-13T06:59:29.666Z
"x-y+z","z+x-y",accept,PASS,2026-06-13T06:59:29.666Z
"2x-3y+4z","4z+2x-3y",accept,PASS,2026-06-13T06:59:29.666Z
"-3ab","-3ba",accept,PASS,2026-06-13T06:59:29.666Z
"(-2)(-3)x","6x",accept,PASS,2026-06-13T06:59:29.666Z
"1(x+a)","(x+a)",accept,PASS,2026-06-13T06:59:29.666Z
"0+x","x",accept,PASS,2026-06-13T06:59:29.666Z
"x+0+y","x+y",accept,PASS,2026-06-13T06:59:29.667Z
"0+(x+a)","(x+a)",accept,PASS,2026-06-13T06:59:29.667Z
"2+3+x","5+x",reject,PASS,2026-06-13T06:59:29.667Z
"x+2+3","x+5",reject,PASS,2026-06-13T06:59:29.667Z
"1+2+3+x+4+5","x+15",reject,PASS,2026-06-13T06:59:29.667Z
"(x)","x",accept,PASS,2026-06-13T06:59:29.667Z
"((x))","x",accept,PASS,2026-06-13T06:59:29.667Z
"(x+a)","x+a",accept,PASS,2026-06-13T06:59:29.667Z
"2(x)","2x",accept,PASS,2026-06-13T06:59:29.667Z
"2x+3x","5x",reject,PASS,2026-06-13T06:59:29.667Z
"x+x","2x",reject,PASS,2026-06-13T06:59:29.667Z
"2(x+1)","2x+2",reject,PASS,2026-06-13T06:59:29.667Z
"(x+a)(x+b)","x^2+(a+b)x+ab",reject,PASS,2026-06-13T06:59:29.667Z
"x^2-1","(x+1)(x-1)",reject,PASS,2026-06-13T06:59:29.668Z
"(x+2)^2","x^2+4x+4",reject,PASS,2026-06-13T06:59:29.668Z
